Renaiss Account,Renaiss Wallet,BinanceTH UID,Card 1 ✓,Card 2 ✓,Card 3 ✓,Tickets,Eligible,Rewarded,ส่วนแบ่ง ($),Tweet URL
https://www.renaiss.xyz/user/JewUncle21,0x249ace98f74717bf4de4d124d0238ccd24900930,10829537,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/jewuncle21/status/2063148119752380627
https://www.renaiss.xyz/ref/micedouble6573,0xfb814600dd354d18af52f8ce4bd896084e8920a7,11167896,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/FattyShark112/status/2062971367235207384
https://www.renaiss.xyz/ref/baboonsshout965,0x20e8f430cc7575655cdb5c51c6b884bf6eeb6b24,10948957,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/sadaosadou/status/2062830332710445310
https://www.renaiss.xyz/ref/dryersretire195,0x705ef74b23546de2d9a6c95f0a3aed80f3162cf5,11994464,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/ChannalSuntanz/status/2062823747103674640
https://www.renaiss.xyz/user/jeen,0x9b1c85e2b09a73e2ce3bc7d56a9f5ea72705c226,10742753,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/ZaBkung72027/status/2062891289042166243
https://www.renaiss.xyz/user/LizardsKi,0x04062a41ab9d7b1fa61296c2477f6802a061d465,11267163,TRUE,TRUE,TRUE,3,TRUE,FALSE,$30.00,https://x.com/yodchakatpol2/status/2062831451297751397
https://www.renaiss.xyz/user/BerriesSt,0x588c547ea6f4c9f809388d3fc4873b40aa330a84,10960009,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/Kittikom_/status/2062823576697549186
https://www.renaiss.xyz/user/lliitaa,0xc763656cda7d5c4e926dfd9c06d21980ad390f39,11351184,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/NuNoyDeFi/status/2062906042342834342
https://www.renaiss.xyz/ref/pugsremain9623,0x21177040fec80af099626a31da918dc2ba7f2e82,11285952,TRUE,TRUE,TRUE,3,TRUE,FALSE,$30.00,https://x.com/Nobodyknowww/status/2062826448612999540
https://www.renaiss.xyz/user/Tiramisu,0x5b76a7c24a874113267c80a5b6fa397b5f9ce83a,10845221,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/Killerangello/status/2062915113808785756
https://www.renaiss.xyz/ref/badgersshine709,0xc5f8d580ba4f5b8d0bf60986761b1cd59c5164e0,12874096,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/Donald_mvp/status/2062831893578682686
https://www.renaiss.xyz/user/AdultsAppear385,0xbdbde51c3f10a61f8f06d248a2506c1e1cedbd71,10054092,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/kensanglnz/status/2062824758174208335
https://www.renaiss.xyz/user/MookiezTH,0x7dc4c20ff2ec06398a0ff2f0af7e081cb3110c5e,10018098,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/BeNJ4cker_/status/2062868144436478007
https://www.renaiss.xyz/user/FindingNemo,0xf7ef443085111152bf74a248e96c62c91c638ea9,10111895,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/nopzty/status/2062832721081364958
https://www.renaiss.xyz/ref/smartweb3god,0xe1a512e8f4e8525609e91aef056ad152ec3cebb1,10442788,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/SmartWeb3God/status/2062873085368565983
,0xebc9f25c07c781e3868f406c924874ee137192ef,10020612,TRUE,TRUE,TRUE,3,FALSE,FALSE,,https://x.com/MKrub8/status/2062854617629937860
https://www.renaiss.xyz/user/aran,0x0dee885fd30b213d450bf5dbf7730391e47f465d,12017765,TRUE,TRUE,FALSE,2,TRUE,FALSE,$20.00,https://x.com/0xaranz/status/2062827565757473103
https://www.renaiss.xyz/user/ibO,0x86e3285e9289756a50ed24eea262e376b1528557,10617227,TRUE,FALSE,FALSE,1,TRUE,FALSE,$10.00,https://x.com/classicalism/status/2062826689596719416
